"Car_brand","Car_model","Mileage","Year","Transmission","Location","Fuel","Engine_Size (cc)","Price (£)","Car Type"
"VW","T-Cross - Estate Special Ed",20749,"2023","Automatic","Somerset","Petrol",1000,17491,"Estate"
"Land Rover","Range Rover",13559,"2022","Automatic","Oxfordshire","Diesel",3000,81991,NA
"Land Rover","Range Rover evoque Diesel",15939,"2023","Automatic","Lincolnshire","Diesel",2000,30991,NA
"Peugeot","208",11862,"2022","Automatic","West Midlands","Petrol",1200,15345,NA
"Peugeot","2008",17417,"2023","Automatic","Kent","Petrol",1200,18834,NA
"Peugeot","2008",20248,"2023","Automatic","Kent","Petrol",1200,18906,NA
"Honda","CR-V",13750,"2022","Automatic","Leicestershire","Hybrid",2000,25056,NA
"Audi","RS Q3 RS Q3TFSI Quattro S Tronic",22172,"2022","Automatic","Kent","Petrol",2500,44700,NA
"Citroën","C3 Aircross",11878,"2021","Automatic","Leicestershire","Petrol",1200,14447,NA
"Citroën","C5 Aircross",2016,"2023","Manual","Essex","Petrol",1200,18330,NA
"Audi","RS Q3 RS Q3TFSI Quattro S Tronic",23730,"2021","Automatic","Hampshire","Petrol",2500,41890,NA
"Audi","SQ8 SQ8TFSI Quattro Tiptronic",10329,"2023","Automatic","Leicestershire","Petrol",4000,57500,NA
"Audi","RS Q8 TFSI Quattro Launch Edition Tiptronic",536,"2024","Automatic","Derbyshire","Petrol",4000,108000,NA
"Jaguar","I-Pace 400 HSE 4WD",33495,"2020","≈ 470 miles","Hampshire","Electric",0,20733,NA
"Audi","e-tron 50 S line quattro",38092,"2021","≈ 341 miles","Staffordshire","Electric",0,21665,NA
"Volvo","XC40",47031,"2020","Automatic","Leicestershire","Petrol",2000,21038,NA
"Nissan","Qashqai",43887,"2020","Manual","Derbyshire","Petrol",1300,11981,NA
"Land Rover","Range Rover evoque",17439,"2022","Automatic","Nottinghamshire","Diesel",2000,29333,"Hatchback"
"Audi","e-tron 55 Technik quattro Charger)",31422,"2022","≈ 441 miles","Hampshire","Electric",0,22136,NA
"Peugeot","2008",7178,"2023","Automatic","Staffordshire","Petrol",1200,19852,NA
"Audi","Q5 40 TDI Quattro S Line S Tronic Diesel Estate",34221,"2020","Automatic","Nottinghamshire","Diesel",2000,26166,"Estate"
"Audi","A6 Saloon",24930,"2022","Automatic","Hampshire","Petrol",2000,21735,"Saloon"
"BMW","220 2 Series Gran Coupe d M Sport Step",63775,"2021","Automatic","Manchester","Diesel",2000,18058,"Coupe"
"Volvo","XC60",17476,"2020","Automatic","Shropshire","Petrol",2000,24636,NA
"Land Rover","Range Rover evoque",22055,"2020","Automatic","Hampshire","Petrol",2000,23107,NA
"Peugeot","2008",11401,"2022","Automatic","London","Petrol",1200,17495,"Estate"
"Nissan","X-Trail",56622,"2020","Manual","Derbyshire","Diesel",1700,14354,NA
